USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE
user_001,movie_A,1678886400,watch
user_002,series_X,1678886460,watch
user_003,movie_B,1678886520,watch
user_004,series_Y,1678886580,watch
user_005,movie_C,1678886640,watch
user_006,movie_D,1678886700,watch
user_007,series_Z,1678886760,watch
user_008,movie_E,1678886820,watch
user_009,movie_F,1678886880,watch
user_010,movie_G,1678886940,watch
user_011,series_A,1678887000,watch
user_012,movie_H,1678887060,watch
user_013,series_B,1678887120,watch
user_014,movie_I,1678887180,watch
user_015,series_C,1678887240,watch
user_016,movie_J,1678887300,watch
user_017,series_D,1678887360,watch
user_018,movie_K,1678887420,watch
user_019,series_E,1678887480,watch
user_020,movie_L,1678887540,watch
user_021,movie_M,1678887600,watch
user_022,series_F,1678887660,watch
user_023,movie_N,1678887720,watch
user_024,series_G,1678887780,watch
user_025,movie_O,1678887840,watch
user_026,series_H,1678887900,watch
user_027,movie_P,1678887960,watch
user_028,series_I,1678888020,watch
user_029,movie_Q,1678888080,watch
user_030,series_J,1678888140,watch
user_031,movie_R,1678888200,watch
user_032,series_K,1678888260,watch
user_033,movie_S,1678888320,watch
user_034,series_L,1678888380,watch
user_035,movie_T,1678888440,watch
user_036,series_M,1678888500,watch
user_037,movie_U,1678888560,watch
user_038,series_N,1678888620,watch
user_039,movie_V,1678888680,watch
user_040,series_O,1678888740,watch
user_041,movie_W,1678888800,watch
user_042,series_P,1678888860,watch
user_043,movie_X,1678888920,watch
user_044,series_Q,1678888980,watch
user_045,movie_Y,1678889040,watch
user_046,series_R,1678889100,watch
user_047,movie_Z,1678889160,watch
user_048,series_S,1678889220,watch
user_049,movie_AA,1678889280,watch
user_050,series_T,1678889340,watch
user_001,series_X,1678889400,watch
user_002,movie_A,1678889460,watch
user_003,series_Y,1678889520,watch
user_004,movie_B,1678889580,watch
user_005,series_Z,1678889640,watch
user_006,movie_E,1678889700,watch
user_007,movie_F,1678889760,watch
user_008,series_A,1678889820,watch
user_009,movie_H,1678889880,watch
user_010,series_B,1678889940,watch
user_011,movie_I,1678890000,watch
user_012,series_C,1678890060,watch
user_013,movie_J,1678890120,watch
user_014,series_D,1678890180,watch
user_015,movie_K,1678890240,watch
user_016,series_E,1678890300,watch
user_017,movie_L,1678890360,watch
user_018,movie_M,1678890420,watch
user_019,series_F,1678890480,watch
user_020,movie_N,1678890540,watch
user_021,series_G,1678890600,watch
user_022,movie_O,1678890660,watch
user_023,series_H,1678890720,watch
user_024,movie_P,1678890780,watch
user_025,series_I,1678890840,watch
user_026,movie_Q,1678890900,watch
user_027,series_J,1678890960,watch
user_028,movie_R,1678891020,watch
user_029,series_K,1678891080,watch
user_030,movie_S,1678891140,watch
user_031,series_L,1678891200,watch
user_032,movie_T,1678891260,watch
user_033,series_M,1678891320,watch
user_034,movie_U,1678891380,watch
user_035,series_N,1678891440,watch
